Building Internal
Location,Asset Sub-Type,Type/Material,Condition,Quantity,Comments
Office 4 (1st Floor),Floor,Carpets,Good,,
Office 4 (1st Floor),Walls,"Gyprock (Internal), Concrete (External)",Good,,
Office 4 (1st Floor),Ceiling,,Good,,
Office 4 (1st Floor),Lights,LED,Good,2,Working
Office 3 (1st Floor),Floor,Carpets,Good,,
Office 3 (1st Floor),Walls,"Gyprock (Internal), Concrete (External)",Good,,
Office 3 (1st Floor),Ceiling,,Good,,
Office 3 (1st Floor),Lights,LED,Good,2,Working
Office 2 (Ground Floor),Floor,Tile,Good,,
Office 2 (Ground Floor),Walls,"Gyprock (Internal), Concrete (External)",Good,,
Office 2 (Ground Floor),Ceiling,,Good,,
Office 2 (Ground Floor),Lights,LED,Good,2,1 light not working
Main Area,Floor,Tile,Good,,
Main Area,Walls,"Gyprock (Internal), Concrete (External)",Fair,,
Main Area,Ceiling,,Good,,
Main Area,Lights,LED,Good,4,
Reception,Floor,Tile,Good,,
Reception,Walls,"Gyprock (Internal), Concrete (External)",Good,,
Reception,Ceiling,,Good,,
Reception,Lights,LED,Good,2,
Reception,Joinery,Laminate / Laminate,Good,,Wooden and Veneer benchtop for the reception
Server Room,Floor,Tile,Fair,,
Server Room,Walls,"Gyprock (Internal), Concrete (External)",Fair,,
Server Room,Ceiling,,Good,,
Server Room,Lights,LED,Good,1,
Main Area (1st Floor),Floor,Carpets,Good,,
Main Area (1st Floor),Walls,"Gyprock (Internal), Concrete (External)",Good,,
Main Area (1st Floor),Ceiling,,Good,,
Main Area (1st Floor),Lights,LED,Good,4,
Staircase,Floor,Carpets,Good,,
Staircase,Walls,"Gyprock (Internal), Concrete (External)",Good,,
Staircase,Lights,LED,Good,1,Working
Staff Room,Floor,Tile,Good,,
Staff Room,Walls,"Gyprock (Internal), Concrete (External)",Fair,,
Staff Room,Ceiling,,Good,,
Staff Room,Lights,LED,Good,2,Working
Staff Room,Joinery,Laminate / Marble,Good,,Marble top with Wooden cabinets
Storage Room,Floor,Tile,Good,,
Storage Room,Walls,"Gyprock (Internal), Concrete (External)",Good,,
Storage Room,Ceiling,,Good,,
Storage Room,Lights,LED,Good,1,Working
Storage Room,Joinery,Laminate,Good,,Wooden Laminated Storage Cabinets
Female Bathroom / Toilets,Floor,Tile,Good,,
Female Bathroom / Toilets,Walls,Concrete,Good,,
Female Bathroom / Toilets,Ceiling,,Good,,
Female Bathroom / Toilets,Lights,LED,Good,1,
Female Bathroom / Toilets,Joinery,Laminate,Good,,Steel Framed Wooden bench
Office 1 (Ground Floor),Floor,Tile,Good,,
Office 1 (Ground Floor),Walls,"Gyprock (Internal), Concrete (External)",Good,,
Office 1 (Ground Floor),Ceiling,,Good,,
Office 1 (Ground Floor),Lights,LED,Good,2,Working
Male Bathroom / Toilets,Floor,Tile,Good,,
Male Bathroom / Toilets,Walls,Concrete,Good,,
Male Bathroom / Toilets,Ceiling,,Good,,
Male Bathroom / Toilets,Lights,LED,Good,1,
Guard Room,Floor,Tile,Good,,
Guard Room,Walls,Concrete,Fair,,
Guard Room,Ceiling,,Fair,,
Guard Room,Lights,LED,Good,1,Working
Yard Shed,Floor,Concrete,Fair,,
Yard Shed,Walls,Steel,Fair,,
Yard Shed,Ceiling,,Fair,,General wear and tear observed
Yard Shed,Lights,Halogen,Fair,12,
Male Toilet (Rear),Floor,Tile,Fair,,
Male Toilet (Rear),Walls,Concrete,Fair,,
Male Toilet (Rear),Ceiling,,Fair,,
Male Toilet (Rear),Lights,LED,Good,2,
Female Toilet (Rear),Floor,Tile,Good,,
Female Toilet (Rear),Walls,Concrete,Fair,,
Female Toilet (Rear),Ceiling,,Good,,
Female Toilet (Rear),Lights,LED,Good,1,

Doors
Location,Asset Sub-Type,Door Type,Door Frame Type,Condition,Comments,Door Closer,Door Jams Fitted,Door is Compliant,Lockable
Bathroom / Toilets,Doors,Timber Hinged Internal,,Good,Operational,yes,yes,yes,yes
Bathroom / Toilets,Doors,Timber Hinged Internal,Steel,Good,Operational,yes,yes,yes,yes
Female Toilet (Rear),Doors,Timber Hinged External,Timber,Good,Operational,yes,yes,yes,yes
Guard Room,Doors,Glass Hinged,Timber,Good,Operational,yes,yes,yes,yes
Male Toilet (Rear),Doors,Timber Hinged Internal,Timber,Fair,Operational,yes,yes,yes,yes
Male Toilet (Rear),Doors,Timber Hinged External,Timber,Good,Operational,yes,yes,yes,yes
Office 1 (Ground Floor),Doors,Timber Hinged Internal,Timber,Good,Operational,yes,yes,yes,yes
