Room / Area,Walls,Flooring,Ceilings,Ceilings Comments,Lights,Lights Comments,Doors,Plumbing,Plumbing Comments,Cabinetry & Fixed Furniture,Cabinetry & Fixed Furniture Comments
Office 4 (1st Floor),Good,Good,Good,,Good,Working,Good,,,,
Office 3 (1st Floor),Good,Good,Good,,Good,Working,Good,,,,
Office 2 (Ground Floor),Good,Good,Good,,Good,1 light not working,Good,,,,
Main Area,Fair,Good,Good,,Good,,,,,,
Reception,Good,Good,Good,,Good,,Good,,,Good,Wooden and Veneer benchtop for the reception
Server Room,Fair,Fair,Good,,Good,,Good,,,,
Main Area (1st Floor),Good,Good,Good,,Good,,,,,,
Staircase,Good,Good,,,Good,Working,,,,,
Staff Room,Fair,Good,Good,,Good,Working,Good,Good,All working,Good,Marble top with Wooden cabinets
Storage Room,Good,Good,Good,,Good,Working,Good,,,Good,Wooden Laminated Storage Cabinets
Female Bathroom / Toilets,Good,Good,Good,,Good,,Good,Good,,Good,Steel Framed Wooden bench
Office 1 (Ground Floor),Good,Good,Good,,Good,Working,Good,,,,
Male Bathroom / Toilets,Good,Good,Good,,Good,,Good,Good,Working,,
Guard Room,Fair,Good,Fair,,Good,Working,Good,,,,
Male Toilet (Rear),Fair,Fair,Fair,,Good,,Good,Fair,Working; 1 urinal and 1 WC,,
Female Toilet (Rear),Fair,Good,Good,,Good,,Good,Good,Working,,
Yard Shed,Fair,Fair,Fair,General wear and tear observed,Fair,,,,,,
